expression,result
86^2,7396
(11 + 42) * 56,2968
60 * 60,3600
18 + 72,90
31 * 91,2821
79^2,6241
36 * 90,3240
16^2,256
12 + 75,87
56^2,3136
68^2,4624
84 - 48,36
13^2,169
(5 + 14) * (7 - 3),76
14^2,196
54 + 87,141
35 * 42,1470
98^2,9604
47 + 102,149
44 * 63,2772
(24 + 21) * (56 - 18),1710
54 + 26,80
76 + 56,132
35^2,1225
(59 + 51) * (59 - 12),5170
19 * 68,1292
93 + 39,132
45 + 88,133
67 + 89,156
99 + 21,120
38^2,1444
24^2,576
37^2,1369
31^2,961
41^2,1681
(48 + 54) * (31 - 29),204
40 * 97,3880
97 * 61,5917
82^2,6724
93 * 64,5952
70 * 65,4550
68^2,4624
6^2,36
25 - 14,11
50 - 16,34
87^2,7569
(52 + 57) * (44 - 7),4033
21 * 48,1008
83 - 74,9
39 - 15,24
68 - 21,47
82 + 20,102
(67 + 96) * 45,7335
(38 + 83) * 49,5929
10 * 33,330
97 * 63,6111
91 * 27,2457
80 + 22,102
39 + 30,69
87 * 95,8265
94 + 52,146
26^2,676
25 + 21,46
30 + 40,70
86 + 28,114
11 + 93,104
(23 + 51) * 30,2220
54 + 36,90
47^2,2209
49 * 82,4018
51 * 12,612
(89 + 55) * 10,1440
43 - 36,7
(82 + 24) * 15,1590
24^2,576
(82 + 37) * 78,9282
91 + 77,168
81 * 65,5265
94 + 94,188
10^2,100
30 + 72,102
(35 + 82) * 58,6786
98 * 100,9800
97^2,9409
(74 + 67) * 94,13254
51 * 40,2040
2 + 4,6
88 / 44,2
19 + 99,118
(78 + 27) * 28,2940
64^2,4096
15^2,225
25^2,625
67 * 71,4757
40^2,1600
62 * 86,5332
76^2,5776
15 * 28,420
63^2,3969
77 * 14,1078
84 * 53,4452
(68 + 42) * 84,9240
15 * 26,390
20^2,400
60 - 17,43
28 + 26,54
(6 + 43) * 11,539
22^2,484
85^2,7225
75 + 80,155
(59 + 85) * (30 - 12),2592
68 + 51,119
28 * 51,1428
(8 + 90) * (65 - 64),98
95 + 88,183
92 + 62,154
24 * 45,1080
81 * 75,6075
86 + 49,135
97 * 36,3492
(66 + 46) * (52 - 15),4144
(29 + 34) * 39,2457
(73 + 69) * 32,4544
50 * 92,4600
73 + 79,152
61 - 58,3
73^2,5329
76 * 28,2128
6 * 5,30
97 * 61,5917
38^2,1444
67^2,4489
39^2,1521
18^2,324
(53 + 20) * (87 - 70),1241
(9 + 98) * (80 - 48),3424
(90 + 13) * (94 - 40),5562
(2 + 77) * (53 - 51),158
69 + 93,162
53 * 98,5194
(92 + 29) * (94 - 3),11011
62 + 86,148
95 * 34,3230
99 + 38,137
36 - 36,0
70 + 94,164
65 - 23,42
81 + 99,180
87 + 91,178
53 + 87,140
60 + 75,135
(23 + 69) * (51 - 1),4600
49 + 100,149
67 * 14,938
83^2,6889
10 * 95,950
86^2,7396
77^2,5929
79 + 70,149
54 - 38,16
86 + 14,100
57^2,3249
(16 + 42) * (9 - 1),464
54 * 52,2808
(3 + 39) * 3,126
(77 + 43) * 96,11520
26 + 49,75
99^2,9801
(11 + 77) * 13,1144
42 * 94,3948
72 - 27,45
52 - 40,12
85 * 70,5950
28^2,784
54 / 18,3
74^2,5476
99 * 33,3267
(95 + 30) * (97 - 20),9625
(32 + 44) * (37 - 6),2356
33 + 64,97
(51 + 94) * 51,7395
(67 + 19) * 20,1720
38 * 21,798
47 + 66,113
47 + 43,90
(57 + 96) * 62,9486
47 - 25,22
79 + 17,96
20^2,400
85 * 98,8330
76 + 12,88
70 - 63,7
70^2,4900
27 + 79,106
(12 + 3) * (79 - 31),720
53^2,2809
(64 + 1) * 65,4225
23^2,529
27 * 31,837
(4 + 45) * 13,637
(63 + 39) * 88,8976
56 - 39,17
95^2,9025
(30 + 40) * 3,210
41 + 54,95
60 / 60,1
(10 + 49) * 91,5369
17^2,289
(82 + 45) * (76 - 7),8763
(3 + 78) * (81 - 41),3240
69 + 65,134
54 + 80,134
91 - 27,64
75 * 85,6375
29 + 35,64
89 + 36,125
59 + 95,154
(81 + 34) * (74 - 14),6900
75 * 28,2100
33 * 98,3234
74 - 49,25
43 * 30,1290
79^2,6241
72^2,5184
50 + 16,66
(94 + 97) * 50,9550
99 * 38,3762
84 * 83,6972
34 * 83,2822
45 + 69,114
51 * 62,3162
81^2,6561
48 / 12,4
26 + 89,115
(59 + 11) * 86,6020
96 + 22,118
31^2,961
75^2,5625
35 + 67,102
(12 + 72) * 15,1260
16 * 37,592
(66 + 98) * 14,2296
72 * 61,4392
59^2,3481
(35 + 94) * (50 - 23),3483
86 - 64,22
22 + 90,112
(18 + 15) * (62 - 47),495
26 - 13,13
28 * 57,1596
83 * 37,3071
63^2,3969
48^2,2304
(40 + 34) * 65,4810
34^2,1156
(19 + 18) * 72,2664
97^2,9409
38 * 75,2850
90 + 99,189
54 + 52,106
(58 + 68) * (21 - 16),630
56 * 82,4592
61^2,3721
68 * 38,2584
88 + 84,172
27 * 38,1026
68 - 60,8
48 * 51,2448
76 + 84,160
(78 + 48) * (83 - 46),4662
72 + 88,160
66 + 101,167
53 * 59,3127
47 * 70,3290
24 + 48,72
74 + 70,144
(33 + 88) * 48,5808
61 + 30,91
78^2,6084
63^2,3969
(25 + 54) * 24,1896
(72 + 49) * (85 - 22),7623
89 * 24,2136
75 * 24,1800
97 - 51,46
70 + 29,99
70^2,4900
67^2,4489
(20 + 19) * 11,429
64 * 53,3392
49 * 85,4165
(34 + 62) * 25,2400
(14 + 7) * 77,1617
94 * 94,8836
31^2,961
63 * 91,5733
72 + 16,88
27 * 86,2322
(22 + 86) * (57 - 57),0
64 + 33,97
(92 + 69) * (61 - 7),8694
78^2,6084
47 * 60,2820
59 * 77,4543
77^2,5929
13^2,169
38 * 28,1064
(69 + 57) * 69,8694
94 * 14,1316
54^2,2916
97 + 93,190
80 - 34,46
70 * 61,4270
47^2,2209
96 + 69,165
52^2,2704
66^2,4356
(78 + 70) * 30,4440
79 + 23,102
25 + 14,39
(73 + 39) * 39,4368
(46 + 92) * (65 - 9),7728
13^2,169
58 - 50,8
66^2,4356
91 * 15,1365
14 * 100,1400
97 * 56,5432
20 + 96,116
(68 + 31) * (91 - 69),2178
53 + 88,141
74 - 41,33
35 - 12,23
52 * 40,2080
72 * 37,2664
(2 + 63) * (48 - 40),520
43 * 82,3526
14^2,196
(18 + 88) * 7,742
(67 + 6) * (53 - 30),1679
41 * 48,1968
46 + 100,146
35^2,1225
47 * 25,1175
(98 + 12) * (73 - 35),4180
79 - 22,57
58 * 12,696
80 * 42,3360
(61 + 29) * 95,8550
44 * 40,1760
76 * 98,7448
97^2,9409
96 * 25,2400
17 + 43,60
58 - 12,46
22^2,484
78 * 40,3120
53^2,2809
(8 + 26) * 89,3026
(81 + 30) * 55,6105
81 * 75,6075
(30 + 79) * 94,10246
63 - 59,4
71 + 80,151
(22 + 65) * 73,6351
14^2,196
(90 + 62) * 58,8816
(12 + 39) * 6,306
50 - 39,11
(80 + 34) * 11,1254
34 - 34,0
74^2,5476
70^2,4900
13 + 24,37
(17 + 52) * 82,5658
37 + 23,60
0 * 10,0
65 + 36,101
10 * 74,740
42^2,1764
36 + 37,73
42 + 85,127
46 + 16,62
(99 + 23) * 93,11346
(8 + 37) * 78,3510
84 * 93,7812
78^2,6084
94 * 52,4888
(11 + 65) * 33,2508
61 + 63,124
97^2,9409
34 + 82,116
58^2,3364
64^2,4096
91 + 62,153
98^2,9604
22 - 10,12
82 + 13,95
(48 + 98) * 31,4526
36^2,1296
45 * 49,2205
(51 + 24) * 73,5475
16 + 37,53
26 + 27,53
98 + 82,180
(59 + 86) * (85 - 71),2030
74 - 15,59
91 + 26,117
(6 + 27) * (62 - 25),1221
76 + 91,167
60 + 98,158
70 * 24,1680
67 - 62,5
(42 + 92) * 97,12998
80 + 53,133
72 + 88,160
33^2,1089
79 * 44,3476
79 - 38,41
(48 + 59) * (5 - 4),107
10^2,100
(40 + 6) * 39,1794
69 + 101,170
(99 + 58) * 98,15386
(16 + 83) * 98,9702
97 + 79,176
92^2,8464
25^2,625
70^2,4900
98 - 14,84
13 * 51,663
99 * 29,2871
63 * 43,2709
71 + 92,163
85 + 52,137
(99 + 43) * 53,7526
30 + 20,50
78 - 69,9
35 + 65,100
85^2,7225
67 * 88,5896
89 - 31,58
58 * 74,4292
77^2,5929
69 - 38,31
96 * 69,6624
48 * 90,4320
81 + 88,169
63^2,3969
(27 + 85) * (73 - 1),8064
82 * 25,2050
(83 + 3) * 29,2494
12 * 54,648
(7 + 79) * 99,8514
62 * 86,5332
43 + 87,130
29 * 17,493
70 - 41,29
96 * 76,7296
(29 + 13) * 38,1596
83 + 63,146
(98 + 51) * 2,298
17 * 26,442
81 + 101,182
(65 + 64) * 18,2322
(79 + 94) * (40 - 27),2249
12 + 26,38
20 + 39,59
33 + 99,132
26^2,676
(41 + 36) * (97 - 41),4312
(68 + 54) * 17,2074
19 + 64,83
(21 + 44) * 55,3575
68 - 47,21
14 + 89,103
(46 + 75) * 5,605
19 * 22,418
61 - 38,23
98 * 74,7252
79 - 76,3
(52 + 23) * (92 - 30),4650
56^2,3136
62 * 14,868
13 + 12,25
58^2,3364
93^2,8649
42 + 71,113
15^2,225
62^2,3844
75^2,5625
96^2,9216
74 + 36,110
82 - 61,21
22 * 18,396
95^2,9025
22 + 86,108
61^2,3721
(55 + 82) * 12,1644
35 - 18,17
73^2,5329
54 - 52,2
21 + 80,101
79 + 98,177
40 - 21,19
(41 + 22) * 99,6237
(62 + 85) * 54,7938
37 + 62,99
31 + 30,61
64 + 39,103
42 + 73,115
13 * 50,650
30 + 32,62
26 * 62,1612
(59 + 48) * 51,5457
68 * 79,5372
40^2,1600
58 - 15,43
59 * 44,2596
19^2,361
82 * 33,2706
51^2,2601
(2 + 60) * 67,4154
(85 + 28) * (58 - 47),1243
(40 + 68) * 40,4320
72 - 16,56
11 + 61,72
65^2,4225
11 * 30,330
12 * 18,216
57 * 78,4446
(72 + 48) * 11,1320
22 * 90,1980
15 + 28,43
24 + 71,95
57 * 34,1938
15 * 47,705
17 + 80,97
50 + 103,153
(69 + 35) * 52,5408
47 * 63,2961
(26 + 96) * (54 - 22),3904
46^2,2116
14 * 24,336
85 * 39,3315
35^2,1225
37^2,1369
25 - 13,12
(20 + 73) * 8,744
(85 + 51) * 49,6664
53 + 89,142
99 - 16,83
51 + 12,63
57 * 94,5358
84 + 44,128
43 - 30,13
53 + 48,101
(53 + 50) * (54 - 46),824
(49 + 67) * 93,10788
(36 + 28) * 99,6336
85^2,7225
25 * 64,1600
34 + 38,72
83^2,6889
37 + 45,82
15^2,225
39 + 97,136
(53 + 18) * 89,6319
41 + 66,107
42^2,1764
49 * 62,3038
4^2,16
44 * 14,616
70 * 21,1470
65 * 19,1235
(43 + 53) * 83,7968
(53 + 17) * 49,3430
(14 + 94) * 95,10260
(45 + 30) * 87,6525
32 + 76,108
82 * 94,7708
25 - 22,3
(77 + 62) * 32,4448
85^2,7225
(38 + 91) * (99 - 74),3225
42 + 32,74
(52 + 13) * 15,975
(96 + 89) * 94,17390
(54 + 54) * 99,10692
(6 + 34) * 62,2480
(15 + 33) * 46,2208
46^2,2116
(58 + 61) * 60,7140
17^2,289
20^2,400
33^2,1089
20 * 91,1820
92 * 41,3772
30 + 37,67
(19 + 30) * 60,2940
39 + 15,54
(37 + 50) * (18 - 16),174
22 * 62,1364
53 + 75,128
(14 + 39) * (80 - 32),2544
35 * 26,910
57 - 44,13
80 * 56,4480
27 + 54,81
37^2,1369
91 * 26,2366
89 + 24,113
(72 + 22) * (56 - 11),4230
72 * 88,6336
34^2,1156
59^2,3481
91^2,8281
(29 + 25) * 98,5292
94 - 89,5
35 + 60,95
13 + 17,30
25 * 89,2225
87 - 77,10
(33 + 29) * (69 - 39),1860
87 + 60,147
(42 + 29) * 81,5751
13 + 26,39
(30 + 84) * (73 - 2),8094
82 - 34,48
95 * 67,6365
(75 + 18) * 98,9114
56 - 24,32
(49 + 18) * 9,603
90^2,8100
93^2,8649
90 + 28,118
86 + 30,116
9^2,81
0^2,0
41 + 95,136
34 * 55,1870
44 - 26,18
(36 + 83) * 37,4403
92 * 15,1380
98 * 92,9016
23^2,529
64^2,4096
25 * 25,625
30 + 71,101
88 + 64,152
(17 + 42) * (74 - 39),2065
59 + 77,136
18 * 45,810
61^2,3721
61^2,3721
(29 + 73) * (90 - 17),7446
59 * 30,1770
82 - 76,6
89 * 36,3204
72^2,5184
(44 + 63) * 11,1177
56 * 66,3696
82 - 23,59
(76 + 6) * 65,5330
88 + 40,128
14 + 62,76
65 - 27,38
(11 + 29) * (34 - 8),1040
46 - 29,17
15 + 56,71
95 - 23,72
70^2,4900
83 + 45,128
(99 + 31) * 24,3120
(75 + 39) * (55 - 17),4332
61 * 92,5612
(93 + 67) * 8,1280
(69 + 49) * (80 - 40),4720
41 * 54,2214
39 * 40,1560
43^2,1849
44 + 72,116
34^2,1156
(10 + 77) * 10,870
38 * 59,2242
11 * 75,825
14^2,196
26^2,676
21^2,441
83 - 17,66
69 * 97,6693
91^2,8281
93 + 74,167
93 * 39,3627
6 * 11,66
48 + 74,122
39 + 39,78
(24 + 26) * 61,3050
88^2,7744
64 + 68,132
22^2,484
38 * 39,1482
(33 + 45) * (43 - 6),2886
79 - 55,24
59 * 72,4248
70 - 42,28
22 * 23,506
42^2,1764
(94 + 75) * 45,7605
73^2,5329
27 + 31,58
(11 + 94) * 11,1155
74 + 84,158
(29 + 66) * 47,4465
48 + 70,118
18^2,324
97 * 101,9797
29 * 102,2958
68^2,4624
67 - 65,2
29 + 49,78
61 - 29,32
86 * 65,5590
49^2,2401
(73 + 46) * 8,952
85^2,7225
46 * 80,3680
(60 + 66) * 9,1134
96 - 22,74
28 * 26,728
87^2,7569
(7 + 84) * 5,455
18 * 58,1044
(39 + 33) * (82 - 9),5256
42^2,1764
95 + 52,147
82 * 34,2788
27 + 56,83
72 - 65,7
47^2,2209
(15 + 53) * (57 - 53),272
92 - 41,51
46^2,2116
95 + 88,183
78^2,6084
94 - 26,68
84 * 22,1848
68 + 87,155
92 - 17,75
98^2,9604
86 * 14,1204
66^2,4356
86 * 28,2408
38^2,1444
15 + 45,60
(83 + 99) * 61,11102
10^2,100
87^2,7569
(17 + 91) * 21,2268
41^2,1681
96 - 91,5
73 * 54,3942
9 + 10,19
51^2,2601
(3 + 75) * 38,2964
(63 + 57) * 20,2400
79 * 33,2607
87 + 18,105
73^2,5329
62^2,3844
22^2,484
25 + 22,47
14^2,196
98 - 49,49
97 + 63,160
(91 + 2) * 89,8277
(26 + 50) * 21,1596
61 - 30,31
66^2,4356
72 - 55,17
56 * 85,4760
(36 + 17) * 10,530
34 + 78,112
(60 + 90) * (43 - 27),2400
72 + 12,84
69 - 45,24
(36 + 13) * 60,2940
(38 + 6) * 11,484
27 * 45,1215
25 + 35,60
74 * 49,3626
92 * 17,1564
57^2,3249
76^2,5776
51 + 40,91
27^2,729
87 + 86,173
48 - 34,14
(77 + 7) * 36,3024
71 - 46,25
90^2,8100
63 + 68,131
21 * 43,903
76^2,5776
59^2,3481
81 * 99,8019
(76 + 82) * 71,11218
98 - 81,17
6 + 4,10
72 + 36,108
63 - 43,20
42 * 85,3570
95 * 55,5225
84 - 68,16
11 + 83,94
46 + 18,64
(60 + 83) * 66,9438
46 * 100,4600
79 - 48,31
33^2,1089
50^2,2500
22 * 24,528
94 - 32,62
12 * 95,1140
29 * 61,1769
52 + 75,127
96 + 79,175
(47 + 63) * 4,440
74 - 31,43
(21 + 74) * 6,570
42 * 65,2730
22 * 63,1386
(71 + 26) * (5 - 5),0
38 * 79,3002
50 - 33,17
76 - 28,48
(96 + 97) * 25,4825
73 + 43,116
59 - 30,29
56 - 32,24
17 * 52,884
(2 + 34) * (94 - 77),612
86 + 46,132
48 * 45,2160
(30 + 34) * 40,2560
(17 + 55) * 31,2232
23 + 13,36
47 * 43,2021
24^2,576
10^2,100
32 * 89,2848
57^2,3249
(61 + 43) * (84 - 3),8424
60 * 96,5760
13^2,169
79^2,6241
29 * 49,1421
74 + 70,144
49 + 35,84
83 * 40,3320
58 + 25,83
69^2,4761
39 + 66,105
(29 + 77) * (52 - 40),1272
20^2,400
69 + 62,131
68^2,4624
(86 + 27) * 54,6102
70^2,4900
(27 + 29) * 54,3024
(3 + 42) * 48,2160
85 * 19,1615
80^2,6400
25 * 21,525
82^2,6724
38 + 59,97
41 - 12,29
58^2,3364
(15 + 67) * 8,656
34^2,1156
97 + 36,133
(35 + 76) * 27,2997
(18 + 40) * 97,5626
(61 + 71) * (83 - 34),6468
97 - 26,71
(75 + 87) * (79 - 49),4860
78 * 36,2808
76 * 22,1672
69 - 42,27
90^2,8100
42 + 51,93
33 * 71,2343
58 - 55,3
8 * 7,56
(30 + 58) * (98 - 94),352
96^2,9216
13 * 62,806
78^2,6084
44 - 28,16
92^2,8464
31 + 44,75
75 - 34,41
(31 + 9) * 80,3200
26^2,676
48^2,2304
26^2,676
69 * 54,3726
99 * 54,5346
(80 + 92) * (32 - 20),2064
34 + 55,89
80^2,6400
(93 + 5) * (78 - 23),5390
74 * 70,5180
(96 + 28) * 21,2604
83^2,6889
93 - 72,21
35 - 28,7
90 - 47,43
60 + 48,108
59^2,3481
40^2,1600
